Date,Open,High,Low,Close,Adj Close,Volume
2013-12-05,15.750000,15.750000,15.750000,15.750000,10.875339,0
2013-12-06,15.830000,15.830000,15.830000,15.830000,10.930577,0
2013-12-09,15.860000,15.860000,15.860000,15.860000,10.951292,0
2013-12-10,15.840000,15.840000,15.840000,15.840000,10.937481,0
2013-12-11,15.730000,15.730000,15.730000,15.730000,10.861526,0
2013-12-12,15.690000,15.690000,15.690000,15.690000,10.833906,0
2013-12-13,15.690000,15.690000,15.690000,15.690000,10.833906,0
2013-12-16,15.750000,15.750000,15.750000,15.750000,10.875339,0
2013-12-17,15.730000,15.730000,15.730000,15.730000,10.861526,0
2013-12-18,15.860000,15.860000,15.860000,15.860000,10.951292,0
2013-12-19,15.850000,15.850000,15.850000,15.850000,10.944386,0
2013-12-20,15.920000,15.920000,15.920000,15.920000,10.992722,0
2013-12-23,15.980000,15.980000,15.980000,15.980000,11.034151,0
2013-12-24,15.990000,15.990000,15.990000,15.990000,11.041057,0
2013-12-26,16.040001,16.040001,16.040001,16.040001,11.075583,0
2013-12-27,15.570000,15.570000,15.570000,15.570000,11.086261,0
2013-12-30,15.580000,15.580000,15.580000,15.580000,11.093382,0
2013-12-31,15.610000,15.610000,15.610000,15.610000,11.114741,0
2014-01-02,15.520000,15.520000,15.520000,15.520000,11.050661,0
2014-01-03,15.520000,15.520000,15.520000,15.520000,11.050661,0
2014-01-06,15.510000,15.510000,15.510000,15.510000,11.043540,0
2014-01-07,15.570000,15.570000,15.570000,15.570000,11.086261,0
2014-01-08,15.560000,15.560000,15.560000,15.560000,11.079142,0
2014-01-09,15.560000,15.560000,15.560000,15.560000,11.079142,0
2014-01-10,15.620000,15.620000,15.620000,15.620000,11.121861,0
2014-01-13,15.530000,15.530000,15.530000,15.530000,11.057781,0
2014-01-14,15.610000,15.610000,15.610000,15.610000,11.114741,0
2014-01-15,15.650000,15.650000,15.650000,15.650000,11.143223,0
2014-01-16,15.640000,15.640000,15.640000,15.640000,11.136104,0
2014-01-17,15.610000,15.610000,15.610000,15.610000,11.114741,0
2014-01-21,15.640000,15.640000,15.640000,15.640000,11.136104,0
2014-01-22,15.660000,15.660000,15.660000,15.660000,11.150343,0
2014-01-23,15.590000,15.590000,15.590000,15.590000,11.100501,0
2014-01-24,15.380000,15.380000,15.380000,15.380000,10.950975,0
2014-01-27,15.290000,15.290000,15.290000,15.290000,10.886892,0
2014-01-28,15.370000,15.370000,15.370000,15.370000,10.943856,0
2014-01-29,15.300000,15.300000,15.300000,15.300000,10.894014,0
2014-01-30,15.380000,15.380000,15.380000,15.380000,10.950975,0
2014-01-31,15.330000,15.330000,15.330000,15.330000,10.915378,0
2014-02-03,15.130000,15.130000,15.130000,15.130000,10.772969,0
2014-02-04,15.190000,15.190000,15.190000,15.190000,10.815690,0
2014-02-05,15.170000,15.170000,15.170000,15.170000,10.801452,0
2014-02-06,15.300000,15.300000,15.300000,15.300000,10.894014,0
2014-02-07,15.430000,15.430000,15.430000,15.430000,10.986578,0
2014-02-10,15.440000,15.440000,15.440000,15.440000,10.993699,0
2014-02-11,15.550000,15.550000,15.550000,15.550000,11.072021,0
2014-02-12,15.560000,15.560000,15.560000,15.560000,11.079142,0
2014-02-13,15.610000,15.610000,15.610000,15.610000,11.114741,0
2014-02-14,15.660000,15.660000,15.660000,15.660000,11.150343,0
2014-02-18,15.710000,15.710000,15.710000,15.710000,11.185945,0
2014-02-19,15.650000,15.650000,15.650000,15.650000,11.143223,0
2014-02-20,15.690000,15.690000,15.690000,15.690000,11.171704,0
2014-02-21,15.700000,15.700000,15.700000,15.700000,11.178825,0
2014-02-24,15.760000,15.760000,15.760000,15.760000,11.221547,0
2014-02-25,15.770000,15.770000,15.770000,15.770000,11.228666,0
2014-02-26,15.780000,15.780000,15.780000,15.780000,11.235788,0
2014-02-27,15.820000,15.820000,15.820000,15.820000,11.264268,0
2014-02-28,15.850000,15.850000,15.850000,15.850000,11.285628,0
2014-03-03,15.740000,15.740000,15.740000,15.740000,11.207306,0
2014-03-04,15.890000,15.890000,15.890000,15.890000,11.314110,0
2014-03-05,15.890000,15.890000,15.890000,15.890000,11.314110,0
2014-03-06,15.910000,15.910000,15.910000,15.910000,11.328351,0
2014-03-07,15.880000,15.880000,15.880000,15.880000,11.306989,0
2014-03-10,15.860000,15.860000,15.860000,15.860000,11.292748,0
2014-03-11,15.810000,15.810000,15.810000,15.810000,11.257149,0
2014-03-12,15.800000,15.800000,15.800000,15.800000,11.250028,0
2014-03-13,15.690000,15.690000,15.690000,15.690000,11.171704,0
2014-03-14,15.660000,15.660000,15.660000,15.660000,11.150343,0
2014-03-17,15.740000,15.740000,15.740000,15.740000,11.207306,0
2014-03-18,15.830000,15.830000,15.830000,15.830000,11.271389,0
2014-03-19,15.750000,15.750000,15.750000,15.750000,11.214428,0
2014-03-20,15.760000,15.760000,15.760000,15.760000,11.221547,0
2014-03-21,15.730000,15.730000,15.730000,15.730000,11.200185,0
2014-03-24,15.690000,15.690000,15.690000,15.690000,11.171704,0
2014-03-25,15.730000,15.730000,15.730000,15.730000,11.200185,0
2014-03-26,15.690000,15.690000,15.690000,15.690000,11.171704,0
2014-03-27,15.680000,15.680000,15.680000,15.680000,11.164585,0
2014-03-28,15.720000,15.720000,15.720000,15.720000,11.193066,0
2014-03-31,15.810000,15.810000,15.810000,15.810000,11.257149,0
2014-04-01,15.890000,15.890000,15.890000,15.890000,11.314110,0
2014-04-02,15.900000,15.900000,15.900000,15.900000,11.321230,0
2014-04-03,15.870000,15.870000,15.870000,15.870000,11.299870,0
2014-04-04,15.770000,15.770000,15.770000,15.770000,11.228666,0
2014-04-07,15.680000,15.680000,15.680000,15.680000,11.164585,0
2014-04-08,15.720000,15.720000,15.720000,15.720000,11.193066,0
2014-04-09,15.840000,15.840000,15.840000,15.840000,11.278509,0
2014-04-10,15.650000,15.650000,15.650000,15.650000,11.143223,0
2014-04-11,15.560000,15.560000,15.560000,15.560000,11.079142,0
2014-04-14,15.610000,15.610000,15.610000,15.610000,11.114741,0
2014-04-15,15.620000,15.620000,15.620000,15.620000,11.121861,0
2014-04-16,15.730000,15.730000,15.730000,15.730000,11.200185,0
2014-04-17,15.740000,15.740000,15.740000,15.740000,11.207306,0
2014-04-21,15.770000,15.770000,15.770000,15.770000,11.228666,0
2014-04-22,15.840000,15.840000,15.840000,15.840000,11.278509,0
2014-04-23,15.820000,15.820000,15.820000,15.820000,11.264268,0
2014-04-24,15.830000,15.830000,15.830000,15.830000,11.271389,0
2014-04-25,15.730000,15.730000,15.730000,15.730000,11.200185,0
2014-04-28,15.730000,15.730000,15.730000,15.730000,11.200185,0
2014-04-29,15.800000,15.800000,15.800000,15.800000,11.250028,0
2014-04-30,15.840000,15.840000,15.840000,15.840000,11.278509,0
2014-05-01,15.860000,15.860000,15.860000,15.860000,11.292748,0
2014-05-02,15.210000,15.210000,15.210000,15.210000,11.297951,0
2014-05-05,15.210000,15.210000,15.210000,15.210000,11.297951,0
2014-05-06,15.150000,15.150000,15.150000,15.150000,11.253380,0
2014-05-07,15.170000,15.170000,15.170000,15.170000,11.268238,0
2014-05-08,15.160000,15.160000,15.160000,15.160000,11.260810,0
2014-05-09,15.170000,15.170000,15.170000,15.170000,11.268238,0
2014-05-12,15.270000,15.270000,15.270000,15.270000,11.342518,0
2014-05-13,15.280000,15.280000,15.280000,15.280000,11.349944,0
2014-05-14,15.260000,15.260000,15.260000,15.260000,11.335088,0
2014-05-15,15.190000,15.190000,15.190000,15.190000,11.283092,0
2014-05-16,15.220000,15.220000,15.220000,15.220000,11.305378,0
2014-05-19,15.250000,15.250000,15.250000,15.250000,11.327662,0
2014-05-20,15.200000,15.200000,15.200000,15.200000,11.290520,0
2014-05-21,15.260000,15.260000,15.260000,15.260000,11.335088,0
2014-05-22,15.300000,15.300000,15.300000,15.300000,11.364800,0
2014-05-23,15.340000,15.340000,15.340000,15.340000,11.394511,0
2014-05-27,15.410000,15.410000,15.410000,15.410000,11.446508,0
2014-05-28,15.400000,15.400000,15.400000,15.400000,11.439080,0
2014-05-29,15.440000,15.440000,15.440000,15.440000,11.468793,0
2014-05-30,15.440000,15.440000,15.440000,15.440000,11.468793,0
2014-06-02,15.440000,15.440000,15.440000,15.440000,11.468793,0
2014-06-03,15.430000,15.430000,15.430000,15.430000,11.461365,0
2014-06-04,15.450000,15.450000,15.450000,15.450000,11.476221,0
2014-06-05,15.520000,15.520000,15.520000,15.520000,11.528217,0
2014-06-06,15.570000,15.570000,15.570000,15.570000,11.565355,0
2014-06-09,15.590000,15.590000,15.590000,15.590000,11.580213,0
2014-06-10,15.590000,15.590000,15.590000,15.590000,11.580213,0
2014-06-11,15.560000,15.560000,15.560000,15.560000,11.557929,0
2014-06-12,15.530000,15.530000,15.530000,15.530000,11.535645,0
2014-06-13,15.540000,15.540000,15.540000,15.540000,11.543073,0
2014-06-16,15.540000,15.540000,15.540000,15.540000,11.543073,0
2014-06-17,15.560000,15.560000,15.560000,15.560000,11.557929,0
2014-06-18,15.640000,15.640000,15.640000,15.640000,11.617352,0
2014-06-19,15.660000,15.660000,15.660000,15.660000,11.632207,0
2014-06-20,15.670000,15.670000,15.670000,15.670000,11.639636,0
2014-06-23,15.670000,15.670000,15.670000,15.670000,11.639636,0
2014-06-24,15.620000,15.620000,15.620000,15.620000,11.602496,0
2014-06-25,15.650000,15.650000,15.650000,15.650000,11.624780,0
2014-06-26,15.650000,15.650000,15.650000,15.650000,11.624780,0
2014-06-27,15.670000,15.670000,15.670000,15.670000,11.639636,0
2014-06-30,15.680000,15.680000,15.680000,15.680000,11.647065,0
2014-07-01,15.750000,15.750000,15.750000,15.750000,11.699060,0
2014-07-02,15.750000,15.750000,15.750000,15.750000,11.699060,0
2014-07-03,15.800000,15.800000,15.800000,15.800000,11.736199,0
2014-07-07,15.730000,15.730000,15.730000,15.730000,11.684203,0
2014-07-08,15.650000,15.650000,15.650000,15.650000,11.624780,0
2014-07-09,15.690000,15.690000,15.690000,15.690000,11.654490,0
2014-07-10,15.630000,15.630000,15.630000,15.630000,11.609923,0
2014-07-11,15.640000,15.640000,15.640000,15.640000,11.617352,0
2014-07-14,15.690000,15.690000,15.690000,15.690000,11.654490,0
2014-07-15,15.650000,15.650000,15.650000,15.650000,11.624780,0
2014-07-16,15.680000,15.680000,15.680000,15.680000,11.647065,0
2014-07-17,15.580000,15.580000,15.580000,15.580000,11.572783,0
2014-07-18,15.670000,15.670000,15.670000,15.670000,11.639636,0
2014-07-21,15.640000,15.640000,15.640000,15.640000,11.617352,0
2014-07-22,15.710000,15.710000,15.710000,15.710000,11.669349,0
2014-07-23,15.730000,15.730000,15.730000,15.730000,11.684203,0
2014-07-24,15.730000,15.730000,15.730000,15.730000,11.684203,0
2014-07-25,15.680000,15.680000,15.680000,15.680000,11.647065,0
2014-07-28,15.680000,15.680000,15.680000,15.680000,11.647065,0
2014-07-29,15.650000,15.650000,15.650000,15.650000,11.624780,0
2014-07-30,15.650000,15.650000,15.650000,15.650000,11.624780,0
2014-07-31,15.450000,15.450000,15.450000,15.450000,11.476221,0
2014-08-01,15.420000,15.420000,15.420000,15.420000,11.453937,0
2014-08-04,15.490000,15.490000,15.490000,15.490000,11.505934,0
2014-08-05,15.400000,15.400000,15.400000,15.400000,11.439080,0
2014-08-06,15.400000,15.400000,15.400000,15.400000,11.439080,0
2014-08-07,15.350000,15.350000,15.350000,15.350000,11.401940,0
2014-08-08,15.430000,15.430000,15.430000,15.430000,11.461365,0
2014-08-11,15.480000,15.480000,15.480000,15.480000,11.498506,0
2014-08-12,15.460000,15.460000,15.460000,15.460000,11.483648,0
2014-08-13,15.530000,15.530000,15.530000,15.530000,11.535645,0
2014-08-14,15.580000,15.580000,15.580000,15.580000,11.572783,0
2014-08-15,15.590000,15.590000,15.590000,15.590000,11.580213,0
2014-08-18,15.660000,15.660000,15.660000,15.660000,11.632207,0
